Latitude,Longitude,species type,no
31.943387,77.056025,mix,0
31.943582,77.054731,apple,5
31.943141,77.056613,kail,1
31.942637,77.056917,open,4
31.94302,77.057991,kail,1
31.942288,77.058574,kail,1
31.942432,77.059043,kail,1
31.942555,77.059796,kail,1
31.942667,77.060384,kail,1
31.942738,77.061344,kail,1
31.9494316,77.060816,kail,1
31.941011,77.060314,kail,1
31.940096,77.058451,mix,0
31.939595,77.057499,mix,0
31.939544,77.057095,mix,0
31.938881,77.056832,mix,0
31.938381,77.057285,kail,1
31.938307,77.056152,mix,0
31.937739,77.056618,mix,0
31.937224,77.055806,mix,0
31.936163,77.054762,deodar,2
31.935714,77.054334,deodar,2
31.935682,77.054135,deodar,2
31.93544,77.053852,deodar,2
31.934926,77.053006,mix,0
31.934469,77.052514,mix,0
31.934068,77.052089,mix,0
31.933083,77.051032,mix,0
31.931695,77.047758,mix,0
31.932211,77.048312,mix,0
31.932548,77.048467,rai,3
31.932903,77.048864,rai,3
31.933401,77.049329,rai,3
31.934218,77.049935,rai,3
31.934825,77.050277,rai,3
31.935155,77.050533,mix,0
31.935642,77.050854,rai,3
31.936804,77.051873,mix,0
31.937093,77.052179,mix,0
31.937857,77.052331,mix,0
31.93851,77.052571,kail,1
31.938651,77.05275,mix,0
31.935769,77.049747,rai,3
31.935752,77.048576,apple,5
31.936066,77.048146,mix,0
31.934105,77.046168,rai,3
31.933372,77.045117,rai,3
31.933809,77.042848,rai,3
31.934925,77.043108,apple,5
31.939651,77.042771,apple,5
31.940541,77.042812,deodar,2
31.940784,77.044921,deodar,2
31.940533,77.044937,deodar,2
31.940518,77.045296,deodar,2
31.940742,77.045494,deodar,2
31.942277,77.046262,apple,5
31.942919,77.046661,mohr,6
31.944061,77.045446,mohr,6
31.943607,77.055423,rai,3
31.941208,77.061756,open,4
31.945936,77.047017,open,4
31.943283,77.064147,open,4
31.931992,77.050036,open,4
31.939658,77.058039,open,4
31.933247,77.051717,open,4
31.935850,77.046083,apple,5
31.937286,77.045481,apple,5
31.943083,77.045964,apple,5
31.9432622,77.0457789,apple,5
31.9426455,77.0464016,apple,5
31.9421836,77.0462672,apple,5
31.9413730,77.0516105,apple,5
